X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2433993477017,40.116772067414,454,Cast Aluminum,Other,Globe,IND,85,SL033,1256455.092475,1009402.3472,1,,833,No,,Black,,QL,Yes,,AERIAL,,
-88.242841349932,40.1166926723639,455,Cast Aluminum,Other,Globe,IND,85,SL033,1256426.97955,1009558.653575,1,,834,No,,Black,,QL,Yes,,AERIAL,,
-88.2450510361818,40.1171976420155,456,Cast Aluminum,Other,Globe,IND,85,SL033,1256612.81515,1008943.086,1,,836,Yes,,Black,,QL,Yes,,AERIAL,,
-88.2448323478061,40.1172529562646,457,Aluminum,Pipe Arm,Cobra,HPS,250,SL033,1256631.92305,1009001.283,,,837,No,,Natural,,GE,No,,AERIAL,,
-88.2446658451234,40.1172060153755,458,Cast Aluminum,Other,Globe,IND,85,SL033,1256614.0455,1009048.208,1,,838,Yes,,Black,,QL,Yes,,AERIAL,,
-88.2443847164826,40.1172075028935,459,Cast Aluminum,Other,Globe,IND,85,SL033,1256613.6763,1009126.7109,1,,839,Yes,,Black,,QL,Yes,,AERIAL,,
-88.2440310413343,40.1172409654127,460,Cast Aluminum,Other,Globe,IND,85,SL033,1256628.721325,1009227.723,1,,840,Yes,,Black,,QL,Yes,,AERIAL,,
-88.2379878127737,40.1108829406387,461,Aluminum,Other,Cobra,HPS,100,SL086,1254316.25355,1010922.4544,1,,845,Yes,,Black,,GE,No,,AERIAL,,
-88.242130570655,40.1186395891352,462,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257136.31415,1009756.859,1,,846,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2422833146472,40.1186767744897,463,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257150.88434999,1009715.534,1,,847,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2423578040621,40.11889635829,464,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257231.29657499,1009693.517,1,,848,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.242331079091,40.118967007446,465,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257257.040575,1009700.309,1,,849,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2422765909221,40.1190809331617,466,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257298.557625,1009717.341,1,,850,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2422311584011,40.119191811057,467,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257338.96184999,1009730.006,1,,851,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.242182392537,40.1193091140608,468,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257381.707375,1009740.06,1,,852,Yes,5/7,Black,,GE,Yes,,AERIAL,,
